======================================================================
OPTION STRATEGY BACKTEST ANALYSIS
======================================================================

Total Backtests: 135
[PROFITABLE] 60 (44.4%)
[LOSING] 75 (55.6%)

[PROFITABLE] STRATEGIES:
----------------------------------------------------------------------
1. Straddle             | 1week      | PnL: Rs  31576.49 | Win Rate:  50.0%
36. Calendar Spread      | yesterday  | PnL: Rs   3412.99 | Win Rate:  50.0%
37. Calendar Spread      | yesterday  | PnL: Rs   3412.99 | Win Rate:  50.0%
38. Calendar Spread      | yesterday  | PnL: Rs   3412.99 | Win Rate:  50.0%
39. Calendar Spread      | yesterday  | PnL: Rs   3412.99 | Win Rate:  50.0%
40. Calendar Spread      | yesterday  | PnL: Rs   3412.99 | Win Rate:  50.0%
41. Calendar Spread      | 1week      | PnL: Rs   3167.93 | Win Rate:  50.0%
42. Calendar Spread      | 1month     | PnL: Rs   3167.93 | Win Rate:  50.0%
43. Calendar Spread      | 1week      | PnL: Rs   3167.93 | Win Rate:  50.0%
44. Calendar Spread      | 1month     | PnL: Rs   3167.93 | Win Rate:  50.0%
45. Calendar Spread      | 1week      | PnL: Rs   3167.93 | Win Rate:  50.0%
46. Calendar Spread      | 1month     | PnL: Rs   3167.93 | Win Rate:  50.0%
47. Calendar Spread      | 1week      | PnL: Rs   3167.93 | Win Rate:  50.0%
48. Calendar Spread      | 1month     | PnL: Rs   3167.93 | Win Rate:  50.0%
49. Calendar Spread      | 1week      | PnL: Rs   3167.93 | Win Rate:  50.0%
50. Calendar Spread      | 1month     | PnL: Rs   3167.93 | Win Rate:  50.0%
51. Bear Put Spread      | yesterday  | PnL: Rs   2347.36 | Win Rate:  50.0%
52. Bear Put Spread      | yesterday  | PnL: Rs   2347.36 | Win Rate:  50.0%
53. Bear Put Spread      | yesterday  | PnL: Rs   2347.36 | Win Rate:  50.0%
54. Bear Put Spread      | yesterday  | PnL: Rs   2347.36 | Win Rate:  50.0%
55. Bear Put Spread      | yesterday  | PnL: Rs   2339.86 | Win Rate:  50.0%
56. Iron Condor          | yesterday  | PnL: Rs    384.41 | Win Rate:  50.0%
57. Iron Condor          | yesterday  | PnL: Rs    348.58 | Win Rate:  50.0%
58. Iron Condor          | yesterday  | PnL: Rs    312.59 | Win Rate:  50.0%
59. Iron Condor          | yesterday  | PnL: Rs    239.18 | Win Rate:  50.0%
60. Iron Condor          | yesterday  | PnL: Rs    165.78 | Win Rate:  50.0%

[LOSING] STRATEGIES:
----------------------------------------------------------------------
1. Covered Call         | 1week      | PnL: Rs -35639.94 | Win Rate:   0.0%
2. Covered Call         | 1month     | PnL: Rs -35639.94 | Win Rate:   0.0%
3. Covered Call         | 1week      | PnL: Rs -35639.94 | Win Rate:   0.0%
4. Covered Call         | 1month     | PnL: Rs -35639.94 | Win Rate:   0.0%
5. Covered Call         | 1week      | PnL: Rs -35639.94 | Win Rate:   0.0%
6. Covered Call         | 1month     | PnL: Rs -35639.94 | Win Rate:   0.0%
7. Covered Call         | 1week      | PnL: Rs -35639.94 | Win Rate:   0.0%
8. Covered Call         | 1month     | PnL: Rs -35639.94 | Win Rate:   0.0%
9. Iron Condor          | 1week      | PnL: Rs -34438.02 | Win Rate:  25.0%
10. Iron Condor          | 1month     | PnL: Rs -34438.02 | Win Rate:  25.0%
11. Iron Condor          | 1week      | PnL: Rs -34380.31 | Win Rate:  25.0%
12. Iron Condor          | 1month     | PnL: Rs -34380.31 | Win Rate:  25.0%
13. Iron Condor          | 1week      | PnL: Rs -33063.67 | Win Rate:  25.0%
14. Iron Condor          | 1month     | PnL: Rs -33063.67 | Win Rate:  25.0%
15. Covered Call         | 1week      | PnL: Rs -31946.47 | Win Rate:   0.0%
16. Covered Call         | 1month     | PnL: Rs -31946.47 | Win Rate:   0.0%
17. Iron Condor          | 1week      | PnL: Rs -25743.38 | Win Rate:  25.0%
18. Iron Condor          | 1month     | PnL: Rs -25743.38 | Win Rate:  25.0%
19. Iron Condor          | 1week      | PnL: Rs -18423.07 | Win Rate:  50.0%
20. Iron Condor          | 1month     | PnL: Rs -18423.07 | Win Rate:  50.0%
21. Iron Butterfly       | 1week      | PnL: Rs -11785.76 | Win Rate:  25.0%
22. Iron Butterfly       | 1month     | PnL: Rs -11785.76 | Win Rate:  25.0%
23. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
24. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
25. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
26. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
27. Strangle             | yesterday  | PnL: Rs  -9076.62 | Win Rate:   0.0%
28. Bear Put Spread      | 1week      | PnL: Rs  -7597.60 | Win Rate:  50.0%
29. Bear Put Spread      | 1month     | PnL: Rs  -7597.60 | Win Rate:  50.0%
30. Protective Put       | 1week      | PnL: Rs  -7533.92 | Win Rate:   0.0%
31. Protective Put       | 1month     | PnL: Rs  -7533.92 | Win Rate:   0.0%
32. Protective Put       | 1week      | PnL: Rs  -7533.92 | Win Rate:   0.0%
33. Protective Put       | 1month     | PnL: Rs  -7533.92 | Win Rate:   0.0%
34. Protective Put       | 1week      | PnL: Rs  -7533.92 | Win Rate:   0.0%
35. Protective Put       | 1month     | PnL: Rs  -7533.92 | Win Rate:   0.0%
36. Protective Put       | 1week      | PnL: Rs  -7533.92 | Win Rate:   0.0%
37. Protective Put       | 1month     | PnL: Rs  -7533.92 | Win Rate:   0.0%
38. Protective Put       | 1week      | PnL: Rs  -7502.06 | Win Rate:   0.0%
39. Protective Put       | 1month     | PnL: Rs  -7502.06 | Win Rate:   0.0%
40. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
41. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
42. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
43. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
44. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
45. Protective Put       | yesterday  | PnL: Rs  -4556.87 | Win Rate:   0.0%
46. Protective Put       | yesterday  | PnL: Rs  -4556.87 | Win Rate:   0.0%
47. Protective Put       | yesterday  | PnL: Rs  -4556.87 | Win Rate:   0.0%
48. Protective Put       | yesterday  | PnL: Rs  -4556.87 | Win Rate:   0.0%
49. Protective Put       | yesterday  | PnL: Rs  -4538.04 | Win Rate:   0.0%
50. Bear Put Spread      | 1week      | PnL: Rs  -3872.74 | Win Rate:  50.0%
51. Bear Put Spread      | 1month     | PnL: Rs  -3872.74 | Win Rate:  50.0%
52. Bear Put Spread      | 1week      | PnL: Rs  -3872.74 | Win Rate:  50.0%
53. Bear Put Spread      | 1month     | PnL: Rs  -3872.74 | Win Rate:  50.0%
54. Bear Put Spread      | 1week      | PnL: Rs  -3872.74 | Win Rate:  50.0%
55. Bear Put Spread      | 1month     | PnL: Rs  -3872.74 | Win Rate:  50.0%
56. Bear Put Spread      | 1week      | PnL: Rs  -3872.74 | Win Rate:  50.0%
57. Bear Put Spread      | 1month     | PnL: Rs  -3872.74 | Win Rate:  50.0%
58. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
59. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
60. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
61. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
62. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
63. Iron Butterfly       | 1week      | PnL: Rs  -2271.02 | Win Rate:  50.0%
64. Iron Butterfly       | 1month     | PnL: Rs  -2271.02 | Win Rate:  50.0%
65. Iron Butterfly       | 1week      | PnL: Rs  -2240.02 | Win Rate:  50.0%
66. Iron Butterfly       | 1month     | PnL: Rs  -2240.02 | Win Rate:  50.0%
67. Iron Butterfly       | 1week      | PnL: Rs  -2209.16 | Win Rate:  50.0%
68. Iron Butterfly       | 1month     | PnL: Rs  -2209.16 | Win Rate:  50.0%
69. Iron Butterfly       | yesterday  | PnL: Rs  -2184.94 | Win Rate:  50.0%
70. Iron Butterfly       | 1week      | PnL: Rs  -2178.42 | Win Rate:  50.0%
71. Iron Butterfly       | 1month     | PnL: Rs  -2178.42 | Win Rate:  50.0%
72. Iron Butterfly       | yesterday  | PnL: Rs  -2147.90 | Win Rate:  50.0%
73. Iron Butterfly       | yesterday  | PnL: Rs  -2111.01 | Win Rate:  50.0%
74. Iron Butterfly       | yesterday  | PnL: Rs  -2074.27 | Win Rate:  50.0%
75. Iron Butterfly       | yesterday  | PnL: Rs  -2037.69 | Win Rate:  50.0%

STRATEGY RANKINGS BY PERIOD:
----------------------------------------------------------------------

YESTERDAY:
1. [PROFIT] Covered Call         | PnL: Rs   4548.31
2. [PROFIT] Covered Call         | PnL: Rs   4548.31
3. [PROFIT] Covered Call         | PnL: Rs   4548.31
4. [PROFIT] Covered Call         | PnL: Rs   4548.31
5. [PROFIT] Covered Call         | PnL: Rs   4529.51
6. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
7. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
8. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
9. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
10. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
11. [PROFIT] Bear Put Spread      | PnL: Rs   2347.36
12. [PROFIT] Bear Put Spread      | PnL: Rs   2347.36
13. [PROFIT] Bear Put Spread      | PnL: Rs   2347.36
14. [PROFIT] Bear Put Spread      | PnL: Rs   2347.36
15. [PROFIT] Bear Put Spread      | PnL: Rs   2339.86
16. [PROFIT] Iron Condor          | PnL: Rs    384.41
17. [PROFIT] Iron Condor          | PnL: Rs    348.58
18. [PROFIT] Iron Condor          | PnL: Rs    312.59
19. [PROFIT] Iron Condor          | PnL: Rs    239.18
20. [PROFIT] Iron Condor          | PnL: Rs    165.78
21. [LOSS] Iron Butterfly       | PnL: Rs  -2037.69
22. [LOSS] Iron Butterfly       | PnL: Rs  -2074.27
23. [LOSS] Iron Butterfly       | PnL: Rs  -2111.01
24. [LOSS] Iron Butterfly       | PnL: Rs  -2147.90
25. [LOSS] Iron Butterfly       | PnL: Rs  -2184.94
26. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
27. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
28. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
29. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
30. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
31. [LOSS] Protective Put       | PnL: Rs  -4538.04
32. [LOSS] Protective Put       | PnL: Rs  -4556.87
33. [LOSS] Protective Put       | PnL: Rs  -4556.87
34. [LOSS] Protective Put       | PnL: Rs  -4556.87
35. [LOSS] Protective Put       | PnL: Rs  -4556.87
36. [LOSS] Straddle             | PnL: Rs  -6802.83
37. [LOSS] Straddle             | PnL: Rs  -6802.83
38. [LOSS] Straddle             | PnL: Rs  -6802.83
39. [LOSS] Straddle             | PnL: Rs  -6802.83
40. [LOSS] Straddle             | PnL: Rs  -6802.83
41. [LOSS] Strangle             | PnL: Rs  -9076.62
42. [LOSS] Strangle             | PnL: Rs  -9076.62
43. [LOSS] Strangle             | PnL: Rs  -9076.62
44. [LOSS] Strangle             | PnL: Rs  -9076.62
45. [LOSS] Strangle             | PnL: Rs  -9076.62

1WEEK:
1. [PROFIT] Straddle             | PnL: Rs  31576.49
2. [PROFIT] Straddle             | PnL: Rs  31576.49
3. [PROFIT] Straddle             | PnL: Rs  31576.49
4. [PROFIT] Straddle             | PnL: Rs  31576.49
5. [PROFIT] Straddle             | PnL: Rs  31576.49
6. [PROFIT] Strangle             | PnL: Rs  24322.46
7. [PROFIT] Strangle             | PnL: Rs  24322.46
8. [PROFIT] Strangle             | PnL: Rs  24322.46
9. [PROFIT] Strangle             | PnL: Rs  24322.46
10. [PROFIT] Strangle             | PnL: Rs  24322.46
11. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
12. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
13. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
14. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
15. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
16. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
17. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
18. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
19. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
20. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
21. [LOSS] Iron Butterfly       | PnL: Rs  -2178.42
22. [LOSS] Iron Butterfly       | PnL: Rs  -2209.16
23. [LOSS] Iron Butterfly       | PnL: Rs  -2240.02
24. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
25. [LOSS] Bear Put Spread      | PnL: Rs  -3872.74
26. [LOSS] Bear Put Spread      | PnL: Rs  -3872.74
27. [LOSS] Bear Put Spread      | PnL: Rs  -3872.74
28. [LOSS] Bear Put Spread      | PnL: Rs  -3872.74
29. [LOSS] Protective Put       | PnL: Rs  -7502.06
30. [LOSS] Protective Put       | PnL: Rs  -7533.92
31. [LOSS] Protective Put       | PnL: Rs  -7533.92
32. [LOSS] Protective Put       | PnL: Rs  -7533.92
33. [LOSS] Protective Put       | PnL: Rs  -7533.92
34. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
35. [LOSS] Iron Butterfly       | PnL: Rs -11785.76
36. [LOSS] Iron Condor          | PnL: Rs -18423.07
37. [LOSS] Iron Condor          | PnL: Rs -25743.38
38. [LOSS] Covered Call         | PnL: Rs -31946.47
39. [LOSS] Iron Condor          | PnL: Rs -33063.67
40. [LOSS] Iron Condor          | PnL: Rs -34380.31
41. [LOSS] Iron Condor          | PnL: Rs -34438.02
42. [LOSS] Covered Call         | PnL: Rs -35639.94
43. [LOSS] Covered Call         | PnL: Rs -35639.94
44. [LOSS] Covered Call         | PnL: Rs -35639.94
45. [LOSS] Covered Call         | PnL: Rs -35639.94

1MONTH:
1. [PROFIT] Straddle             | PnL: Rs  31576.49
2. [PROFIT] Straddle             | PnL: Rs  31576.49
3. [PROFIT] Straddle             | PnL: Rs  31576.49
4. [PROFIT] Straddle             | PnL: Rs  31576.49
5. [PROFIT] Straddle             | PnL: Rs  31576.49
6. [PROFIT] Strangle             | PnL: Rs  24322.46
7. [PROFIT] Strangle             | PnL: Rs  24322.46
8. [PROFIT] Strangle             | PnL: Rs  24322.46
9. [PROFIT] Strangle             | PnL: Rs  24322.46
10. [PROFIT] Strangle             | PnL: Rs  24322.46
11. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
12. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
13. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
14. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
15. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
16. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
17. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
18. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
19. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
20. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
21. [LOSS] Iron Butterfly       | PnL: Rs  -2178.42
22. [LOSS] Iron Butterfly       | PnL: Rs  -2209.16
23. [LOSS] Iron Butterfly       | PnL: Rs  -2240.02
24. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
25. [LOSS] Bear Put Spread      | PnL: Rs  -3872.74
26. [LOSS] Bear Put Spread      | PnL: Rs  -3872.74
27. [LOSS] Bear Put Spread      | PnL: Rs  -3872.74
28. [LOSS] Bear Put Spread      | PnL: Rs  -3872.74
29. [LOSS] Protective Put       | PnL: Rs  -7502.06
30. [LOSS] Protective Put       | PnL: Rs  -7533.92
31. [LOSS] Protective Put       | PnL: Rs  -7533.92
32. [LOSS] Protective Put       | PnL: Rs  -7533.92
33. [LOSS] Protective Put       | PnL: Rs  -7533.92
34. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
35. [LOSS] Iron Butterfly       | PnL: Rs -11785.76
36. [LOSS] Iron Condor          | PnL: Rs -18423.07
37. [LOSS] Iron Condor          | PnL: Rs -25743.38
38. [LOSS] Covered Call         | PnL: Rs -31946.47
39. [LOSS] Iron Condor          | PnL: Rs -33063.67
40. [LOSS] Iron Condor          | PnL: Rs -34380.31
41. [LOSS] Iron Condor          | PnL: Rs -34438.02
42. [LOSS] Covered Call         | PnL: Rs -35639.94
43. [LOSS] Covered Call         | PnL: Rs -35639.94
44. [LOSS] Covered Call         | PnL: Rs -35639.94
45. [LOSS] Covered Call         | PnL: Rs -35639.94
